,File,Name,VarName,VarType
0,General,Vector3,X,float
1,General,Vector3,Y,float
2,General,Vector3,Z,float
3,General,EntityID,Site,int
4,General,EntityID,Host,int
5,General,EntityID,Num,int
6,General,DtEntityID,Site,int
7,General,DtEntityID,Host,int
8,General,DtEntityID,Num,int
9,General,DtEventID,Site,int
10,General,DtEventID,Host,int
11,General,DtEventID,Num,int
12,General,DtVector,X,float
13,General,DtVector,Y,float
14,General,DtVector,Z,float
15,General,UnityEngine.Vector3,X,float
16,General,UnityEngine.Vector3,Y,float
17,General,UnityEngine.Vector3,Z,float
18,General,Vector2,X,float
19,General,Vector2,Y,float
20,General,UnityEngine.Vector2,X,float
21,General,UnityEngine.Vector2,Y,float
22,General,EntityId,Site,int
23,General,EntityId,Host,int
24,General,EntityId,Num,int
25,General,DtEntityId,Site,int
26,General,DtEntityId,Host,int
27,General,DtEntityId,Num,int
28,General,DtEventId,Site,int
29,General,DtEventId,Host,int
30,General,DtEventId,Num,int
